id,created_at,suhu,kelembapan,cahaya,kondisi
3359,2026-06-10 09:27:08.705197+00,32.6,46.4,880,TERANG
3360,2026-06-10 09:34:40.471726+00,32.4,46.7,862,TERANG
3361,2026-06-10 10:21:27.35834+00,29.8,52.2,1212,TERANG
3362,2026-06-10 10:26:28.219519+00,29.7,52.7,1403,TERANG
3363,2026-06-10 10:31:28.888875+00,29.3,53,1618,TERANG
3364,2026-06-10 10:36:29.893626+00,29.1,53.3,1799,TERANG
3365,2026-06-10 10:41:30.626039+00,28.9,54.5,1979,TERANG
3366,2026-06-10 10:46:31.619616+00,28.9,55.5,2111,TERANG
3367,2026-06-10 10:51:32.706671+00,28.5,56.9,2161,TERANG
3368,2026-06-10 10:56:33.740081+00,28.5,58,2168,TERANG
3369,2026-06-10 11:01:34.507269+00,28.5,58.5,2169,TERANG
3370,2026-06-10 11:06:35.392883+00,28.5,59.3,2166,TERANG
3371,2026-06-10 11:11:36.219967+00,28.5,59.8,2166,TERANG
3372,2026-06-10 11:16:37.208904+00,28,61.3,2163,TERANG
3373,2026-06-10 11:21:37.8579+00,28,62,2167,TERANG
3374,2026-06-10 11:26:38.655442+00,28,62.1,2167,TERANG
3375,2026-06-10 11:31:39.632598+00,28,62,2167,TERANG
3376,2026-06-10 11:36:40.338874+00,27.9,62.8,2165,TERANG
3377,2026-06-10 11:41:41.195098+00,27.8,62.9,2162,TERANG
3378,2026-06-10 11:46:42.233718+00,27.6,64.1,2158,TERANG
3379,2026-06-10 11:51:43.077196+00,27.6,64.5,2157,TERANG
3380,2026-06-10 11:56:44.003273+00,27.6,65.7,2165,TERANG
3381,2026-06-10 12:01:44.982055+00,27.6,65.5,2167,TERANG
3382,2026-06-10 12:06:45.832797+00,27.6,65,2165,TERANG
3383,2026-06-10 12:11:46.851639+00,27.6,66,2166,TERANG
3384,2026-06-10 12:16:47.823181+00,27.6,66.2,2164,TERANG
3385,2026-06-10 12:21:48.872328+00,27.6,66.1,2166,TERANG
3386,2026-06-10 12:26:49.865346+00,27.6,66,2165,TERANG
3387,2026-06-10 12:31:50.746499+00,27.5,66.1,2161,TERANG
3388,2026-06-10 12:36:51.738175+00,27.6,65.6,2163,TERANG
3389,2026-06-10 12:41:52.973147+00,27.6,65.5,2158,TERANG
3390,2026-06-10 12:46:53.837101+00,27.6,66.2,2158,TERANG
3391,2026-06-10 12:51:55.80291+00,27.5,67.2,2160,TERANG
3392,2026-06-10 12:56:56.446624+00,27.5,66.3,2160,TERANG
3393,2026-06-10 13:01:57.166997+00,27.6,65.8,2161,TERANG
3394,2026-06-10 13:06:58.238057+00,27.2,66.7,2163,TERANG
3395,2026-06-10 13:11:59.377732+00,27.1,67.3,2160,TERANG
3396,2026-06-10 13:17:01.779354+00,27.1,68,2164,TERANG
3397,2026-06-10 13:22:07.142614+00,27.1,68.6,2162,TERANG
3398,2026-06-10 13:27:08.895652+00,26.8,68.7,2162,TERANG
3399,2026-06-10 13:32:09.909283+00,26.7,69,2160,TERANG
3400,2026-06-10 13:37:11.05914+00,26.9,69,2164,TERANG
3401,2026-06-10 13:42:12.41715+00,26.7,69.4,2167,TERANG
3402,2026-06-10 13:47:14.146685+00,26.7,70,2160,TERANG
3403,2026-06-10 13:52:14.964968+00,26.7,70,2161,TERANG
3404,2026-06-10 13:57:15.702962+00,26.7,70,2163,TERANG
3405,2026-06-10 14:02:16.466246+00,26.7,70.3,2163,TERANG
3406,2026-06-10 14:07:17.3505+00,26.7,70.9,2160,TERANG
3407,2026-06-10 14:12:20.914772+00,26.7,71,2158,TERANG
3408,2026-06-10 14:17:22.080756+00,26.7,71,2161,TERANG
3409,2026-06-10 14:22:22.958785+00,26.6,71.6,2159,TERANG
3410,2026-06-10 14:27:24.044855+00,26.7,71.9,2164,TERANG
3411,2026-06-10 14:32:24.951961+00,26.6,72.1,2167,TERANG
3412,2026-06-10 14:37:25.843861+00,26.2,72.4,2164,TERANG
3413,2026-06-10 14:42:27.037615+00,26.5,71.8,2165,TERANG
3414,2026-06-10 14:47:28.188161+00,26.5,71,2162,TERANG
3415,2026-06-10 14:52:28.717687+00,26.2,71.5,2165,TERANG
3416,2026-06-10 14:57:30.114709+00,26.2,72.5,2165,TERANG
3417,2026-06-10 15:02:32.163685+00,26.2,72.7,2162,TERANG
3418,2026-06-10 15:07:33.454835+00,26.2,72.3,2164,TERANG
3419,2026-06-10 15:12:35.072686+00,26.2,72.9,2162,TERANG
3420,2026-06-10 15:17:36.168665+00,25.8,73.8,2165,TERANG
3421,2026-06-10 15:22:37.205474+00,25.8,74,2163,TERANG
3422,2026-06-10 15:27:38.03905+00,25.8,73,2165,TERANG
3423,2026-06-10 15:32:38.629116+00,25.8,73,2163,TERANG
3424,2026-06-10 15:37:39.740143+00,25.8,73,2163,TERANG
3425,2026-06-10 15:42:40.872038+00,25.8,73,2162,TERANG
3426,2026-06-10 15:47:42.153465+00,25.8,73,2164,TERANG
3427,2026-06-10 15:52:43.513908+00,25.8,73,2163,TERANG
3428,2026-06-10 15:57:44.747821+00,25.8,73,2164,TERANG
3429,2026-06-10 16:02:45.970883+00,25.6,74,2161,TERANG
3430,2026-06-10 16:07:47.159669+00,25.5,74.7,3713,GELAP
3431,2026-06-10 16:12:48.616781+00,25.3,75.8,3852,GELAP
3432,2026-06-10 16:17:49.629445+00,25.3,76.5,3852,GELAP
3433,2026-06-10 16:22:50.603593+00,25.3,77,3847,GELAP
3434,2026-06-10 16:27:52.084341+00,25.3,77,3839,GELAP
3435,2026-06-10 16:32:53.215296+00,25.3,77.6,3844,GELAP
3436,2026-06-10 16:37:54.415338+00,25.2,78.7,3842,GELAP
